기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
"文 회고록 논란...與 ""타지마할 특검"" vs 野 ""왜곡 공격 구차""","['0', '0', '8', '0', '0']",34,오후 11:12,강민경,"1,436","2,035",YTN,https://n.news.naver.com/mnews/article/052/0002037361?sid=100
'친문 핵심' 김경수 일시 귀국...한동훈 몸풀기 나서나,"['0', '0', '2', '0', '1']",6,오후 11:09,손효정,"2,387","4,234",YTN,https://n.news.naver.com/mnews/article/052/0002037360?sid=100
"베를린 시장, 日 외무상에 ‘소녀상’ 철거 시사","['0', '0', '5', '0', '6']",21,오후 11:06,홍주형,874,"1,065",세계일보,https://n.news.naver.com/mnews/article/022/0003934226?sid=100
"당정대, 고위 협의회서 채상병 특검법 대응·'KC 직구 규제' 등 현안 논의","['1', '0', '0', '0', '0']",6,오후 11:01,나광현,"1,755","1,152",한국일보,https://n.news.naver.com/mnews/article/469/0000802138?sid=100
"문다혜 ""검찰, 아들 학습태블릿은 돌려달라""…검 ""압수 대상도 아냐""(종합)","['8', '0', '2', '1', '1']",28,오후 10:59,조재완,"1,413",547,뉴시스,https://n.news.naver.com/mnews/article/003/0012554226?sid=100
"고위 당정대, 의대증원·채상병특검법 대응 논의...해외 직구 후속 대책 강구도","['0', '0', '0', '0', '0']",0,오후 10:56,정경수,"2,461","1,031",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187165?sid=100
"여야, 대치 정국 계속...원구성·채상병 특검법 쟁점","['0', '0', '0', '0', '0']",2,오후 10:55,nul,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002037352?sid=100
"당정대, 비공개 협의회…'채 특검 거부권·KC 인증 논란' 논의","['2', '0', '0', '0', '0']",4,오후 10:54,한상희,"4,901","4,008",뉴스1,https://n.news.naver.com/mnews/article/421/0007548463?sid=100
"“벌써 3개월, 이젠 제자리 돌아와달라”...대통령실, 전공의 복귀 촉구","['4', '0', '7', '0', '3']",29,오후 10:46,우제윤,"1,479",916,매일경제,https://n.news.naver.com/mnews/article/009/0005305498?sid=100
"[노컷브이]개혁신당에 온 尹 축하 화환 ""이준석에 대한 사랑? 두려움?""","['3', '1', '21', '0', '5']",60,오후 10:32,강종민,231,72,노컷뉴스,https://n.news.naver.com/mnews/article/079/0003896431?sid=100
"尹 “5월 정신, 대한민국 자유의 토대”… 개헌은 ‘침묵’","['0', '0', '2', '0', '0']",1,오후 10:27,남정탁,136,629,세계일보,https://n.news.naver.com/mnews/article/022/0003934219?sid=100
"[속보]""이란 대통령 탄 헬기 비상착륙…구조대 급파""","['1', '0', '0', '3', '3']",38,오후 10:25,이수빈,"1,090","1,042",이데일리,https://n.news.naver.com/mnews/article/018/0005743512?sid=100
"고위 당정대, 의대 증원·채상병특검법 대응 등 논의","['1', '0', '0', '0', '0']",5,오후 10:23,박용하,"3,426","1,279",경향신문,https://n.news.naver.com/mnews/article/032/0003297061?sid=100
"""김건희 특검, 미군철수, 5·18 기점 尹 탄핵 고조"" 촛불 중계하는 北","['23', '0', '2', '1', '1']",39,오후 10:12,한기호,"6,046","2,716",디지털타임스,https://n.news.naver.com/mnews/article/029/0002874482?sid=100
"개혁신당 새 대표에 허은아…""젊은 대통령 탄생시키겠다""(종합2보)","['14', '0', '23', '0', '1']",50,오후 10:10,김연정,"2,787","1,143",연합뉴스,https://n.news.naver.com/mnews/article/001/0014695460?sid=100
고위 당정대서 ‘직구 혼선’ 대응 고심…특검·의대 증원 논의도,"['2', '0', '0', '0', '1']",4,오후 10:06,이창훈,"1,503","1,363",중앙일보,https://n.news.naver.com/mnews/article/025/0003361219?sid=100
"고위 당정대, 의대 증원·채상병특검법 대응 등 논의(종합)","['0', '0', '1', '0', '0']",0,오후 10:05,김영신,"1,091","2,250",연합뉴스,https://n.news.naver.com/mnews/article/001/0014695458?sid=100
"'해외 직구 차단' 논란에 한 발 물러선 정부, 'KC 인증 필요' 사실상 철회","['2', '2', '1', '0', '12']",45,오후 10:03,김대근,619,399,YTN,https://n.news.naver.com/mnews/article/052/0002037338?sid=100
"윤 대통령 내외, 사리 반환행사 참석...김 여사 169일 만에 등장","['0', '0', '0', '0', '0']",10,오후 10:00,장아영,364,181,YTN,https://n.news.naver.com/mnews/article/052/0002037336?sid=100
국민의힘 '영남의 힘'으로 전락했나,"['2', '1', '2', '0', '1']",18,오후 9:56,김동민,212,174,경기일보,https://n.news.naver.com/mnews/article/666/0000042071?sid=100
정책 실패 교과서 된 ‘해외직구 금지령’,"['4', '4', '34', '0', '7']",98,오후 9:53,김경필,"2,679",689,조선일보,https://n.news.naver.com/mnews/article/023/0003835046?sid=100
"尹, 모레 특검 거부 전망...野 ""거부시 재의결"" vs 與 ""정치 공세"" 격화","['4', '0', '9', '0', '12']",83,오후 9:52,nul,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002037332?sid=100
"文, 회고록에 부인 김정숙 '타지마할 논란' 첫 입장 내놔","['129', '2', '21', '2', '10']",259,오후 9:42,신민지,"1,801",278,kbc광주방송,https://n.news.naver.com/mnews/article/660/0000061384?sid=100
"배현진 ""김정숙 여사 인도 방문이 단독외교? 국민을 어찌 보고""","['5', '0', '255', '0', '9']",0,오후 9:38,이수빈,"1,090","1,042",이데일리,https://n.news.naver.com/mnews/article/018/0005743506?sid=100
"문다혜, 이창수 지검장 겨냥 ""그들 저열해도 우리는 품위있게""","['368', '6', '48', '2', '29']",0,오후 9:35,조재완,"1,413",547,뉴시스,https://n.news.naver.com/mnews/article/003/0012554214?sid=100
이재명 “섭섭한 당원들 있겠지만 언제나 전체를 생각해야”,"['0', '0', '0', '0', '0']",0,오후 9:35,조영호,183,90,KBS,https://n.news.naver.com/mnews/article/056/0011723850?sid=100
"이재명 ""당원 권한 2배로"" 강성 달래기…연임론엔 웃기만 했다","['104', '2', '6', '2', '2']",185,오후 9:34,김정재,"1,384","1,746",중앙일보,https://n.news.naver.com/mnews/article/025/0003361217?sid=100
"홍준표, 또 한동훈 겨냥 ""초짜가 총선 말아먹어… 특검 받을 준비나""","['62', '0', '14', '0', '1']",91,오후 9:32,최고나,"3,158","1,550",대전일보,https://n.news.naver.com/mnews/article/656/0000090686?sid=100
"이재명, “지방선거 공천권 쥔 시도당위원장, 선거해야”","['0', '0', '0', '0', '0']",1,오후 9:24,박지성,481,222,KBS,https://n.news.naver.com/mnews/article/056/0011723854?sid=100
[여명]청와대 개방 같은 결단,"['0', '1', '1', '0', '1']",4,오후 9:22,손철 ,162,303,서울경제,https://n.news.naver.com/mnews/article/011/0004342480?sid=100
"북한 창광상점, ICBM 모형 폭죽 판매","['0', '0', '0', '0', '0']",0,오후 9:18,nul,0,0,연합뉴스,https://n.news.naver.com/mnews/article/001/0014695448?sid=100
“의대 증원 문제 일단락…전공의·의대생 돌아와야”,"['1', '0', '0', '0', '0']",1,오후 9:18,nul,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011723831?sid=100
"대통령실 “전공의·의대생, 각자 판단해 복귀 여부 결정할 때”","['6', '0', '0', '0', '2']",31,오후 9:18,nul,0,0,국민일보,https://n.news.naver.com/mnews/article/005/0001697070?sid=100
"文 딸 다혜 씨, 檢 겨냥 ""상당액, 300만원? 아이구야"" 글 썼다 삭제","['16', '0', '1', '0', '2']",37,오후 9:16,김지현,354,186,대전일보,https://n.news.naver.com/mnews/article/656/0000090685?sid=100
복잡해진 주한미군 득실관계…‘토론의 문’ 개방할 필요,"['2', '0', '1', '0', '1']",0,오후 9:13,nul,0,0,한겨레,https://n.news.naver.com/mnews/article/028/0002690015?sid=100
[정욱식 칼럼] ‘유사시 무력통일’도 배제하면 어떨까?,"['6', '0', '2', '0', '0']",42,오후 9:11,nul,0,0,한겨레,https://n.news.naver.com/mnews/article/028/0002690014?sid=100
일시 귀국 김경수 전 경남지사 “현실 정치 관한 언급은 부적절”,"['10', '0', '0', '0', '4']",22,오후 9:11,신주영,"1,889","1,777",경향신문,https://n.news.naver.com/mnews/article/032/0003297033?sid=100
강성 팬덤 우려에도…이재명 “당원 중심 정당”,"['7', '0', '2', '0', '0']",21,오후 9:11,박용하,"3,426","1,279",경향신문,https://n.news.naver.com/mnews/article/032/0003297032?sid=100
개원 앞두고 존재감 키우는 조국혁신당…민주당 고심 커지나,"['0', '0', '1', '0', '0']",2,오후 9:11,박용하,"3,426","1,279",경향신문,https://n.news.naver.com/mnews/article/032/0003297031?sid=100
"이재명 “한쪽 생각만 하면 또라이, 싸패... 황우여도 동의”","['248', '2', '3', '1', '2']",380,오후 9:09,주희연,"5,090","1,162",조선일보,https://n.news.naver.com/mnews/article/023/0003835044?sid=100
개혁신당 새 대표에 허은아 전 의원 선출,"['0', '0', '2', '0', '0']",4,오후 9:08,nul,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011723827?sid=100
"문, ‘타지마할 논란’ 관련해 “영부인 첫 단독 외교”…여, 비난 잇따라","['133', '3', '10', '2', '22']",378,오후 9:08,전현우,"1,003",489,KBS,https://n.news.naver.com/mnews/article/056/0011723826?sid=100
정상외교에 이어 국내행사도 참석한 김 여사…연이은 공개행보,"['7', '0', '12', '0', '21']",157,오후 9:06,정새배,"1,345",643,KBS,https://n.news.naver.com/mnews/article/056/0011723825?sid=100
"당권 재는 한동훈, 정부 비판…친한·친윤 충돌 속 ‘비윤의 길’","['9', '1', '91', '3', '7']",0,오후 9:05,조미덥,69,18,경향신문,https://n.news.naver.com/mnews/article/032/0003297030?sid=100
"‘169일 만의 외부 공개활동’ 김건희 여사, 여론 눈치보기 끝났나","['21', '3', '14', '1', '110']",487,오후 9:05,유설희,"4,828","2,235",경향신문,https://n.news.naver.com/mnews/article/032/0003297029?sid=100
허은아 개혁신당 새 대표 “젊은 대통령 탄생시킬 것”,"['18', '0', '50', '0', '1']",29,오후 9:05,조미덥,69,18,경향신문,https://n.news.naver.com/mnews/article/032/0003297028?sid=100
"여당, 5·18 개헌 하자면서도 “포괄적으로” 시간 끌기","['0', '0', '0', '0', '0']",1,오후 9:05,조미덥,69,18,경향신문,https://n.news.naver.com/mnews/article/032/0003297027?sid=100
오월 어머니들 손 잡은 윤 대통령…‘5·18 헌법’ 한마디도 없었다,"['0', '0', '0', '0', '0']",1,오후 9:05,고귀한,980,954,경향신문,https://n.news.naver.com/mnews/article/032/0003297025?sid=100
"與 '김정숙 때리기'에 野 ""김건희 순방 중 명품숍 간 걸 '문화탐방'이라 하던데""","['4', '3', '82', '1', '6']",126,오후 9:04,박세열,"8,336","3,113",프레시안,https://n.news.naver.com/mnews/article/002/0002332212?sid=100
"""대공덕주 김건희 여사께 깊은 감사""…尹대통령 부부, 169일만에 공개 행사 참석","['13', '2', '17', '1', '14']",216,오후 9:04,박세열,"8,336","3,113",프레시안,https://n.news.naver.com/mnews/article/002/0002332211?sid=100
“80개 품목 해외직구 금지 사실 아니야…혼선드려 사과”,"['2', '1', '2', '0', '20']",93,오후 9:02,김민철,"1,285",620,KBS,https://n.news.naver.com/mnews/article/056/0011723821?sid=100
"허은아 대표 ""젊은 대통령 만들 것…채상병 특검 찬성"" (종합2보)","['32', '0', '16', '0', '1']",44,오후 8:57,조현기,"3,004","13,247",뉴스1,https://n.news.naver.com/mnews/article/421/0007548434?sid=100
"홍준표, 또 한동훈 저격 ""총선 말아먹은 초짜들, 특검 받을 준비하라""","['227', '8', '88', '2', '6']",0,오후 8:57,임재환,"8,783","3,223",매일신문,https://n.news.naver.com/mnews/article/088/0000878640?sid=100
"하얼빈 간 푸틴, 깜짝 방북 없었다…무기 청구서 부담됐나","['0', '0', '0', '1', '0']",1,오후 8:52,정혜경,"2,143","1,064",SBS,https://n.news.naver.com/mnews/article/055/0001156279?sid=100
"대통령실 ""전공의·의대생 돌아와야...조건 없이 대화""","['3', '0', '0', '0', '0']",4,오후 8:52,nul,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002037329?sid=100
"한동훈, 尹정책 첫 비판…전대 출마 포석?","['0', '0', '3', '0', '2']",1,오후 8:49,김태경,755,"1,467",국제신문,https://n.news.naver.com/mnews/article/658/0000073946?sid=100
"김 여사 5개월 만에 공개행보…尹, 리스크 정면돌파 의지?","['3', '0', '3', '1', '2']",0,오후 8:49,손균근,42,226,국제신문,https://n.news.naver.com/mnews/article/658/0000073945?sid=100
“지방 살릴 부산허브법·산업은행법…여야 합심 처리 기대”,"['0', '0', '4', '2', '3']",4,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073944?sid=100
"“당정, 가덕 거점항공사 신속한 결정을”","['0', '0', '1', '0', '1']",1,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073943?sid=100
부산발전 현안 놓고 1시간여 열띤 토론,"['0', '0', '1', '0', '0']",0,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073942?sid=100
“지방시대 정책속도 기대 못 미쳐…조세권 과감한 이양을”,"['0', '0', '3', '0', '0']",0,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073941?sid=100
“기회발전·교육 특구 성공하려면…강남 중심 사고 틀 깨야”,"['0', '0', '3', '0', '0']",0,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073940?sid=100
“부산현안 골든타임…정교한 입법전략을”,"['0', '0', '2', '0', '0']",1,오후 8:49,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073939?sid=100
"""연임"" 현장당원들, 이재명 향해 외쳤다…李, 즉답 없이 웃기만","['7', '0', '1', '0', '1']",13,오후 8:46,이원율,"41,975","13,284",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002310555?sid=100
"일시 귀국한 김경수 ""盧 추도식 참석, 文도 예방 계획""","['14', '2', '1', '0', '3']",0,오후 8:44,김주원,"1,652",521,매일신문,https://n.news.naver.com/mnews/article/088/0000878639?sid=100
일시 귀국 김경수 “현실정치 언급 부적절…文 찾아뵐 것”,"['10', '0', '0', '0', '2']",0,오후 8:38,맹성규,"12,944","4,106",매일경제,https://n.news.naver.com/mnews/article/009/0005305480?sid=100
'김정숙 타지마할 논란' 입 연 문 전 대통령…여권 맹비난,"['481', '9', '20', '1', '48']",812,오후 8:37,강청완,"4,370","2,273",SBS,https://n.news.naver.com/mnews/article/055/0001156275?sid=100
이재명 “당에 섭섭해도 언제나 전체 생각해야…탈당하면 복당 힘들어”,"['62', '1', '13', '1', '1']",0,오후 8:34,최준영,880,"1,412",문화일보,https://n.news.naver.com/mnews/article/021/0002638077?sid=100
"홍준표 ""총선 말아먹은 초짜들, 특검 받을 준비나 하시라""…또 한동훈 저격","['204', '2', '34', '2', '2']",0,오후 8:32,김현정,"6,833","1,280",아시아경제,https://n.news.naver.com/mnews/article/277/0005420117?sid=100
[포토] 소아암환우돕기 마라톤대회,"['0', '0', '3', '0', '0']",0,오후 8:31,nul,0,0,이데일리,https://n.news.naver.com/mnews/article/018/0005743502?sid=100
"이재명 ""권리당원 표 비중 높일 것""…'당심 달래기' 속내는","['4', '1', '4', '1', '3']",25,오후 8:28,정상원,67,111,한국경제,https://n.news.naver.com/mnews/article/015/0004986335?sid=100
[포토] 도림동 장미마을 축제,"['0', '0', '1', '0', '0']",0,오후 8:28,nul,0,0,이데일리,https://n.news.naver.com/mnews/article/018/0005743501?sid=100
"문재인, '김정숙 인도 방문'에 ""영부인 단독 외교""‥국민의힘 맹비난","['8', '2', '3', '0', '4']",65,오후 8:23,엄지인,"1,321",831,MBC,https://n.news.naver.com/mnews/article/214/0001349490?sid=100
[포토] 서대문 반려문화 펫(PET)스티벌,"['0', '0', '0', '0', '0']",0,오후 8:21,nul,0,0,이데일리,https://n.news.naver.com/mnews/article/018/0005743500?sid=100
"해외직구 금지 논란에 정치권도 가세‥정부 ""혼선 끼쳐 죄송""","['2', '1', '5', '3', '102']",146,오후 8:15,양소연,"1,759","1,933",MBC,https://n.news.naver.com/mnews/article/214/0001349487?sid=100
"대통령실 ""의대 정원 학칙 개정 완료해 달라""","['3', '0', '8', '0', '0']",0,오후 8:14,nul,0,0,MBN,https://n.news.naver.com/mnews/article/057/0001818522?sid=100
"169일 만에 대중 앞에 선 김 여사…야당, '의혹 해명' 요구","['3', '0', '8', '1', '19']",76,오후 8:11,이한석,"1,695",392,SBS,https://n.news.naver.com/mnews/article/055/0001156267?sid=100
"허은아 ""개혁신당 젊은 대통령 탄생시키겠다""","['5', '0', '7', '0', '0']",7,오후 8:10,nul,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002037319?sid=100
"인력이 없는 '조선업 도시'…野 김태선 ""지방소멸 방지 특별법 제정"" [22대 국회 이것만큼은]","['1', '1', '2', '2', '2']",13,오후 8:10,배성수,"2,836","2,529",한국경제,https://n.news.naver.com/mnews/article/015/0004986334?sid=100
"대통령실 ""의대 증원 일단락‥학칙 개정 완료해달라""","['1', '0', '1', '0', '1']",11,오후 8:09,김민찬,"3,248","4,060",MBC,https://n.news.naver.com/mnews/article/214/0001349480?sid=100
'친문 핵심' 김경수 일시 귀국...한동훈 몸풀기 나서나,"['1', '0', '1', '0', '3']",36,오후 8:08,손효정,"2,387","4,234",YTN,https://n.news.naver.com/mnews/article/052/0002037318?sid=100
"정부 ""21일 '채 상병 특검법' 거부 가닥""‥야 ""국민이 정권 거부""","['2', '2', '6', '1', '142']",133,오후 8:08,나세웅,"1,923","1,109",MBC,https://n.news.naver.com/mnews/article/214/0001349479?sid=100
"김경수, 복권론에 “심려 끼쳐 송구… 더 배우고 오겠다”","['67', '1', '1', '0', '2']",136,오후 8:07,김상윤,"3,343","1,126",조선일보,https://n.news.naver.com/mnews/article/023/0003835038?sid=100
방위사업청 “KF-21 분담금 차기 방추위 안건으로 상정할 예정”,"['0', '0', '0', '0', '0']",8,오후 8:06,구현모,"1,749","1,484",세계일보,https://n.news.naver.com/mnews/article/022/0003934175?sid=100
'해외직구 차단하나' 섣부른 발표에 혼란…여권서도 시끌,"['0', '0', '1', '0', '4']",9,오후 8:05,김기태,"1,652",353,SBS,https://n.news.naver.com/mnews/article/055/0001156266?sid=100
"이재명 ""당에 섭섭한 당원들 있겠지만…거대한 목표 향해 나아가야""","['14', '0', '8', '0', '0']",68,오후 8:03,최서인,"6,020","2,258",중앙일보,https://n.news.naver.com/mnews/article/025/0003361214?sid=100
‘도심공공주택 복합사업’ 民民갈등 엉킨 실타래 푼다 [집중취재],"['0', '0', '1', '0', '0']",2,오후 8:03,김지혜,909,"2,621",경기일보,https://n.news.naver.com/mnews/article/666/0000042068?sid=100
이재명 “당에 섭섭한 당원들 있겠지만 언제나 전체를 생각해야”,"['6', '0', '1', '0', '0']",0,오후 8:02,김민철,"1,285",620,KBS,https://n.news.naver.com/mnews/article/056/0011723819?sid=100
"[노컷브이]허은아 개혁신당 대표 ""눈물겹고 뭉클…젊은 대통령 탄생시키겠다""","['2', '0', '10', '0', '0']",17,오후 8:02,강종민,231,72,노컷뉴스,https://n.news.naver.com/mnews/article/079/0003896415?sid=100
"김건희 여사, 169일 만에 외부 행사‥민주당 ""국민적 의혹 먼저 해명해야""","['11', '5', '283', '6', '73']",642,오후 8:00,김민찬,"3,248","4,060",MBC,https://n.news.naver.com/mnews/article/214/0001349476?sid=100
[앵커의 마침표]말이 아닌 행동으로,"['0', '0', '0', '0', '0']",2,오후 7:57,nul,0,0,채널A,https://n.news.naver.com/mnews/article/449/0000275372?sid=100
[정치톡톡] 김건희 여사 공개 행보 왜? / 김경수의 역할론 / 또 선긋는 한동훈,"['1', '0', '2', '0', '0']",21,오후 7:53,서정표,156,68,MBN,https://n.news.naver.com/mnews/article/057/0001818513?sid=100
개혁신당 새 대표에 허은아 전 수석대변인,"['0', '0', '4', '0', '0']",1,오후 7:52,김미희,816,"1,305",국제신문,https://n.news.naver.com/mnews/article/658/0000073936?sid=100
개혁신당 새 대표에 허은아 선출..이기인·조대원·전성균은 최고위원,"['4', '0', '5', '0', '0']",6,오후 7:50,권윤수,"1,007","2,405",대구MBC,https://n.news.naver.com/mnews/article/657/0000026026?sid=100
"개혁신당 새 대표에 허은아…""차기 대선에 대통령 탄생시키겠다""","['19', '0', '13', '0', '0']",45,오후 7:48,박유영,518,767,MBN,https://n.news.naver.com/mnews/article/057/0001818512?sid=100
"'친문 적자' 김경수 전 경남지사 귀국…연일 당원 달래는 이재명 ""언제나 전체 생각해야""","['4', '0', '0', '0', '2']",9,오후 7:46,표선우,786,"3,346",MBN,https://n.news.naver.com/mnews/article/057/0001818511?sid=100
"여당 내부 “총선백서 논란, 되레 한동훈 전대行 힘 실어줘”","['17', '5', '245', '2', '10']",279,오후 7:45,조권형,"1,845",406,동아일보,https://n.news.naver.com/mnews/article/020/0003565439?sid=100
"'김정숙 단독외교' 문 회고록에 난타하는 국민의힘 ""특검 먼저""","['1', '0', '334', '0', '7']",0,오후 7:44,정주영,"1,161","2,003",MBN,https://n.news.naver.com/mnews/article/057/0001818510?sid=100
[앵커의 생각] 멋쩍은 최다선,"['0', '0', '0', '0', '0']",0,오후 7:43,김명우,228,465,TV조선,https://n.news.naver.com/mnews/article/448/0000459216?sid=100
169일 만에 대중 앞에 등장…윤 대통령 부부 사리 반환 기념식 참석,"['0', '0', '1', '0', '0']",9,오후 7:40,전정인,283,"1,104",MBN,https://n.news.naver.com/mnews/article/057/0001818508?sid=100
[뉴스야?!] '해외직구'로 침묵 깬 이유?,"['3', '1', '63', '1', '2']",42,오후 7:39,한송원,"4,200","14,389",TV조선,https://n.news.naver.com/mnews/article/448/0000459213?sid=100
"이재명, 秋탈락 후폭풍 진화 ""당원 권한 2배로""…연임론엔 웃음만","['0', '0', '0', '1', '3']",165,오후 7:39,한병찬,"2,279","1,932",뉴스1,https://n.news.naver.com/mnews/article/421/0007548423?sid=100
"의료계측 변호사가 전공의 비판 ""유령이냐, 정신 차리고 尹 의료독재에 맞서라""","['11', '0', '6', '0', '0']",20,오후 7:38,김은하,"8,643",594,아시아경제,https://n.news.naver.com/mnews/article/277/0005420111?sid=100
[뉴스야?!] 문재인 데자뷔?,"['11', '0', '1', '0', '0']",0,오후 7:37,한송원,"4,200","14,389",TV조선,https://n.news.naver.com/mnews/article/448/0000459212?sid=100
KC 없는 제품 직구 금지 사흘 만에 사실상 철회,"['0', '1', '1', '1', '6']",48,오후 7:36,김세희,390,"1,625",MBN,https://n.news.naver.com/mnews/article/057/0001818506?sid=100
"권익위, 선방위 ‘셀프 민원심의’ 의혹 조사 연장","['0', '0', '3', '0', '1']",2,오후 7:35,손현수,"3,134","2,694",한겨레,https://n.news.naver.com/mnews/article/028/0002690009?sid=100
"文 딸 다혜씨 “우린 품위있게 가자…檢, 아들 태블릿만 돌려달라”","['199', '3', '11', '0', '13']",303,오후 7:35,맹성규,"12,944","4,106",매일경제,https://n.news.naver.com/mnews/article/009/0005305470?sid=100
개혁신당 새 당대표 허은아 “대통령 탄생시키겠다”,"['106', '0', '72', '1', '5']",0,오후 7:34,이승우,"1,359","1,976",동아일보,https://n.news.naver.com/mnews/article/020/0003565438?sid=100
"'해외 직구 차단' 논란에 한 발 물러선 정부, 'KC 인증 필요' 사실상 철회","['2', '0', '2', '0', '14']",128,오후 7:33,김대근,619,399,YTN,https://n.news.naver.com/mnews/article/052/0002037312?sid=100
"르몽드 ""중국 비밀 공작원, 프랑스서 반체제인사 강제 송환 시도""","['7', '0', '0', '0', '1']",8,오후 7:33,이수빈,"1,090","1,042",이데일리,https://n.news.naver.com/mnews/article/018/0005743497?sid=100
"대통령실 ""의대 정원 학칙 개정 완료해 달라""","['0', '0', '0', '0', '0']",0,오후 7:33,nul,0,0,MBN,https://n.news.naver.com/mnews/article/057/0001818504?sid=100
"""전여옥의 해방일지~"" '대장암 4기' 전여옥, 수술 마친 근황 전해","['1', '0', '81', '0', '6']",141,오후 7:31,김현정,"6,834","1,280",아시아경제,https://n.news.naver.com/mnews/article/277/0005420109?sid=100
"일시 귀국 김경수, 복권론에 ""심려 끼쳐 송구""... 文 예방할 듯","['6', '0', '1', '1', '2']",19,오후 7:31,박세인,"1,742",548,한국일보,https://n.news.naver.com/mnews/article/469/0000802119?sid=100
"김경수, 盧 추도식 참석차 귀국…복권론에 “더 노력해야 하는 게 제 처지”","['11', '0', '3', '0', '0']",42,오후 7:31,최준영,880,"1,412",문화일보,https://n.news.naver.com/mnews/article/021/0002638076?sid=100
"文 회고록 논란...與 ""타지마할 특검"" vs 野 ""왜곡 공격 구차""","['0', '1', '20', '0', '0']",100,오후 7:30,강민경,"1,436","2,035",YTN,https://n.news.naver.com/mnews/article/052/0002037311?sid=100
"허은아 ""개혁신당, 지방선거에 전국후보 낼 것""[일문일답]","['7', '0', '15', '0', '1']",24,오후 7:29,한재혁,608,852,뉴시스,https://n.news.naver.com/mnews/article/003/0012554197?sid=100
[여랑야랑]이번엔 영상 공개? / 文 회고록 후폭풍 / ‘친이준석계’ 바통터치,"['3', '0', '11', '0', '3']",19,오후 7:27,김유빈,"1,227","3,041",채널A,https://n.news.naver.com/mnews/article/449/0000275356?sid=100
김경수 일시 귀국…역할론에 “더 배우고 노력해야”,"['29', '0', '2', '0', '1']",59,오후 7:26,구자준,467,888,채널A,https://n.news.naver.com/mnews/article/449/0000275355?sid=100
이재명 “당원 권한 2배로…탈당 말라”,"['325', '2', '7', '0', '5']",353,오후 7:26,박자은,516,"1,342",채널A,https://n.news.naver.com/mnews/article/449/0000275354?sid=100
[아는기자]한동훈 ‘등판 임박’…대통령실 생각은?,"['4', '1', '80', '3', '8']",99,오후 7:25,조영민,"1,190","1,918",채널A,https://n.news.naver.com/mnews/article/449/0000275353?sid=100
"文 딸 다혜씨, 檢 저격 작심글 ""그들은 저열해도 우린 품위있게""","['45', '1', '7', '0', '1']",137,오후 7:23,하수영,"23,303","4,845",중앙일보,https://n.news.naver.com/mnews/article/025/0003361212?sid=100
"한동훈, ‘목겸담’ 넘어 현안 메시지 시동…‘직구’ 때리면서도 수위는 조절","['1', '0', '54', '1', '9']",58,오후 7:23,손지은,"2,769","1,015",서울신문,https://n.news.naver.com/mnews/article/081/0003451743?sid=100
'친문 적자(適子)' 김경수 전 경남지사 일시 귀국,"['1', '0', '0', '0', '0']",3,오후 7:19,nul,0,0,kbc광주방송,https://n.news.naver.com/mnews/article/660/0000061371?sid=100
"尹, 모레 특검 거부 전망...野 ""거부시 재의결"" vs 與 ""정치 공세"" 격화","['3', '0', '10', '0', '7']",127,오후 7:17,nul,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002037307?sid=100
“北 탄도미사일 시험발사는 南 시설 겨냥”,"['0', '0', '0', '0', '2']",13,오후 7:17,구현모,"1,749","1,484",세계일보,https://n.news.naver.com/mnews/article/022/0003934166?sid=100
"""연임"" 외친 당원들에 웃은 이재명...정권타도 주장에 한 말은","['16', '0', '0', '0', '0']",14,오후 7:16,권준영,"24,020","8,992",디지털타임스,https://n.news.naver.com/mnews/article/029/0002874475?sid=100
"[일요와이드] 대통령실, 의료계에 대화 제안…문재인 회고록 공방","['0', '0', '0', '0', '0']",4,오후 7:14,nul,0,0,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660570?sid=100
"文, 김정숙 인도방문에 ""첫 배우자 단독외교""…與 ""특검 받아야""","['6', '2', '752', '6', '31']",0,오후 7:13,최원국,426,218,TV조선,https://n.news.naver.com/mnews/article/448/0000459202?sid=100
일부 친윤계 “한동훈과 같이 갈 수 없다”…탈당도 고려,"['10', '1', '144', '1', '27']",342,오후 7:13,홍지은,"1,151","1,614",채널A,https://n.news.naver.com/mnews/article/449/0000275351?sid=100
