기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
"오픈AI, 올트먼 축출 사태의 ‘여진’…‘인류 안전’ 연구 전담팀 결국 해체","['0', '0', '0', '0', '0']",1,오후 9:28,null,0,0,경향신문,https://n.news.naver.com/mnews/article/032/0003297054?sid=101
"올해 전세보증금 사고, 4개월 만에 2조원 육박","['0', '0', '0', '0', '1']",4,오후 9:27,심윤지,"2,315","1,111",경향신문,https://n.news.naver.com/mnews/article/032/0003297053?sid=101
"LGU+ 새 슬로건 공개…“AI 집중, 성장 이끈다”","['0', '2', '0', '0', '0']",0,오후 9:27,배문규,637,249,경향신문,https://n.news.naver.com/mnews/article/032/0003297052?sid=101
"산림청, 꿀벌 보호 위해 매년 여의도 13배 밀원숲 조성","['0', '0', '1', '0', '0']",0,오후 9:27,김덕준,"2,989","2,197",부산일보,https://n.news.naver.com/mnews/article/082/0001270591?sid=101
‘고향사랑 지정 기부’…기부 참여 늘어날까?,"['0', '0', '0', '0', '0']",0,오후 9:24,김종환,92,16,KBS,https://n.news.naver.com/mnews/article/056/0011723832?sid=101
[포토] 알록달록한 네일 제품 전시회,"['0', '1', '0', '0', '0']",0,오후 9:23,이한형,212,478,국민일보,https://n.news.naver.com/mnews/article/005/0001697071?sid=101
"이복현 금감원장 ""6월 하순 전 공매도 재개 스케줄 밝힐 것""(종합)","['9', '0', '4', '0', '3']",62,오후 9:14,박승희,"4,005","1,332",뉴스1,https://n.news.naver.com/mnews/article/421/0007548449?sid=101
[미리보는 이데일리 신문]일·육아 병행 어려워…돈 걱정에 출산 주저,"['1', '0', '0', '0', '0']",1,오후 9:14,이수빈,"1,090","1,042",이데일리,https://n.news.naver.com/mnews/article/018/0005743505?sid=101
"강원랜드, 모바일 카지노 발권시스템 도입…“고객 불편 획기적 개선”","['0', '0', '0', '0', '0']",0,오후 9:11,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270590?sid=101
상장지수펀드 4종목 코스피 상장 외 [마이머니 단신],"['0', '0', '0', '0', '0']",0,오후 9:08,null,0,0,세계일보,https://n.news.naver.com/mnews/article/022/0003934199?sid=101
"3세대 신형 ‘카이엔 E-하이브리드’… 포르쉐코리아, 국내시장 공식 출시","['0', '0', '0', '0', '0']",0,오후 9:08,백소용,180,202,세계일보,https://n.news.naver.com/mnews/article/022/0003934198?sid=101
한국타이어 후원 ‘슈퍼카 페스트…’ 성황,"['0', '0', '0', '0', '0']",0,오후 9:07,백소용,180,202,세계일보,https://n.news.naver.com/mnews/article/022/0003934197?sid=101
역동적 주행 성능에 정숙함까지 … “궁극의 퍼포먼스카”,"['0', '0', '0', '0', '0']",0,오후 9:07,채명준,413,461,세계일보,https://n.news.naver.com/mnews/article/022/0003934196?sid=101
"LG전자-메타, 내년 출시하려던 XR 기기 프로젝트 '중단'…2027년으로 연기","['0', '0', '0', '0', '0']",0,오후 9:05,강해령,"4,474","1,649",서울경제,https://n.news.naver.com/mnews/article/011/0004342476?sid=101
"""꼬마김밥 한 줄이 천원""…서민외식 메뉴 김밥 가격 2년 사이 16% 올라","['1', '0', '2', '0', '0']",2,오후 9:03,김현아,"1,110","2,096",강원일보,https://n.news.naver.com/mnews/article/087/0001044995?sid=101
1~4월 강원 누적 수출액 10억달러 역대 두번째 … 전선 실적 호황,"['0', '0', '0', '0', '0']",0,오후 9:03,이규호,278,858,강원일보,https://n.news.naver.com/mnews/article/087/0001044994?sid=101
강원 상위 0.1% 부동산 임대소득 2억9천만원 … 1위 서울과 4.5배 차이,"['2', '0', '0', '0', '1']",0,오후 9:02,이규호,278,858,강원일보,https://n.news.naver.com/mnews/article/087/0001044989?sid=101
비대면 상품에 우대금리 주고… AI 활용도 박차,"['0', '0', '0', '0', '0']",0,오후 9:02,박미영,"1,401",834,세계일보,https://n.news.naver.com/mnews/article/022/0003934195?sid=101
‘따뜻한 응원’의 대명사…‘박카스니스’ 신조어도 [장수 브랜드의 비밀],"['0', '0', '5', '0', '0']",3,오후 9:02,반진욱,"2,152","3,832",매경이코노미,https://n.news.naver.com/mnews/article/024/0000089200?sid=101
'KC 미인증 제품 직구 금지' 사실상 없던 일로…사흘짜리 정책에 '멘붕',"['4', '0', '4', '1', '12']",34,오후 9:01,나주예,710,567,한국일보,https://n.news.naver.com/mnews/article/469/0000802128?sid=101
“고물가에 어떻게든 아끼려는데 선택권 제한” 질타…“최소한의 안전성 보장 말해놓고 철회하나” 반대도,"['0', '0', '1', '0', '1']",0,오후 9:00,김기범,"1,806","1,136",경향신문,https://n.news.naver.com/mnews/article/032/0003297022?sid=101
“세컨드 홈 보급화” 소형 모듈러 주택 출시,"['1', '0', '1', '0', '0']",1,오후 8:57,이강진,"1,550","2,395",세계일보,https://n.news.naver.com/mnews/article/022/0003934191?sid=101
"런던베이글·성심당빵, 서산 가루쌀 쓴다","['1', '0', '1', '0', '0']",0,오후 8:57,이강진,"1,550","2,395",세계일보,https://n.news.naver.com/mnews/article/022/0003934190?sid=101
‘카르텔’ 몰며 R&D 예산 깎더니 “예타 폐지”…방향 없는 정책,"['0', '0', '0', '0', '2']",2,오후 8:56,김윤나,"4,818","1,001",경향신문,https://n.news.naver.com/mnews/article/032/0003297021?sid=101
"하이브 ""민희진 대화록 짜집기한 적 없어...적법 확보""","['2', '0', '5', '0', '4']",11,오후 8:56,신진아,"6,068","15,112",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187162?sid=101
‘직구 규제’ 사흘 만에 철회…우왕좌왕 국정,"['0', '0', '0', '0', '3']",13,오후 8:55,김세훈,"1,424",505,경향신문,https://n.news.naver.com/mnews/article/032/0003297017?sid=101
AI 만난 건설… 고객 만족 ‘업’ 비용은 ‘다운’,"['0', '0', '0', '1', '0']",0,오후 8:55,이강진,"1,550","2,395",세계일보,https://n.news.naver.com/mnews/article/022/0003934189?sid=101
"AI반도체 강국의 꿈, 설계부터 패키징까지 국내서 키운다","['1', '0', '0', '0', '2']",3,오후 8:52,이정수,"10,749","4,920",서울신문,https://n.news.naver.com/mnews/article/081/0003451744?sid=101
